,Marca,Modelo,Descrição,Valor,texto_embedding_melhorado,categoria_identificada
1336,Turbosound,TFM122M,"Monitor Coaxial Passivo 1400w Peak, Woofer de 12"" + Driver de 1.4"" Ti, Resp de Freq 63Hz - 20kHz, 128db Peak, Conexão Speakon Nl4 In/out. Chave para Modo Passivo/bi-amp. Conexão para Suporte ou Pedestal",16806.75479061112,"CATEGORIA: CAIXA_PASSIVA | MARCA: TURBOSOUND | MODELO: TFM122M | ESPECIFICACOES: POTENCIA: 1400 | POLEGADAS: 4 12 | FREQUENCIA: 20 63 | DESCRICAO: Monitor Coaxial Passivo 1400w Peak, Woofer de 12"" + Driver de 1.4"" Ti, Resp de Freq 63Hz - 20kHz, 128db Peak, Conexão Speakon Nl4 In/out. Chave para Modo Passivo/bi-amp. Conexão para Suporte ou Pedestal",CAIXA_PASSIVA
1337,Turbosound,TFM152M,"Monitor Coaxial Passivo 1400w Peak, Woofer de 15"" + Driver de 1.4"" Ti, Resp de Freq 50Hz - 20kHz, 130db Peak, Conexão Speakon Nl4 In/out. Chave para Modo Passivo/bi-amp. Conexão para Suporte ou Pedestal",17316.35924150895,"CATEGORIA: CAIXA_PASSIVA | MARCA: TURBOSOUND | MODELO: TFM152M | ESPECIFICACOES: POTENCIA: 1400 | POLEGADAS: 15 4 | FREQUENCIA: 50 20 | DESCRICAO: Monitor Coaxial Passivo 1400w Peak, Woofer de 15"" + Driver de 1.4"" Ti, Resp de Freq 50Hz - 20kHz, 130db Peak, Conexão Speakon Nl4 In/out. Chave para Modo Passivo/bi-amp. Conexão para Suporte ou Pedestal",CAIXA_PASSIVA
1338,Turbosound,iP3000,"Sistema de pa Em Formato de Coluna Modular para Sonorização de Ambientes de 2000w, 130db Spl. 02 Subwoofer de 12” e Coluna Com 16 Alto Falantes de Neodímio de 3,5” Com Bobina de Alumínio + Driver 2”, Precision-lock para Montagem Sem Cabos. Mixer de 03 Canais Com Bluetooth 4.0. Controle Remoto Através de Iphone / Ipad. 110V.",18387.66102075083,"CATEGORIA: CAIXA_SOM | MARCA: TURBOSOUND | MODELO: IP3000 | ESPECIFICACOES: POTENCIA: 2000 | VOLTAGEM: 110 | CANAIS: 03 | MATERIAL: ALUMÍNIO | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Sistema de pa Em Formato de Coluna Modular para Sonorização de Ambientes de 2000w, 130db Spl. 02 Subwoofer de 12” e Coluna Com 16 Alto Falantes de Neodímio de 3,5” Com Bobina de Alumínio + Driver 2”, Precision-lock para Montagem Sem Cabos. Mixer de 03 Canais Com Bluetooth 4.0. Controle Remoto Através de Iphone / Ipad. 110V.",CAIXA_SOM
1339,Turbosound,iP3000 (220V),iP3000 (220V),18387.66102075087,CATEGORIA: OUTROS | MARCA: TURBOSOUND | MODELO: IP3000  220V  | ESPECIFICACOES: VOLTAGEM: 220 | PELE_TIPO: 3000 | DESCRICAO: iP3000 (220V),OUTROS
1340,XPRO,AC 1,AUTOMÁTICO DE CAIXA,101.85,CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: AC 1 | DESCRICAO: AUTOMÁTICO DE CAIXA,CAIXA_SOM
1341,XPRO,PB STD,PÉS DE BUMBO (unid),101.85,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: PB STD | DESCRICAO: PÉS DE BUMBO (unid),BUMBO
1342,XPRO,PRATICE PAD,"PRATICE PAD 8""",113.4,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PRATICE PAD | ESPECIFICACOES: POLEGADAS: 8 | DESCRICAO: PRATICE PAD 8""",OUTROS
1343,XPRO,STICK BAG  SS,PORTA-BAQUETAS P/09 PARES  - COM LÃ,120.75,CATEGORIA: BAQUETA | MARCA: XPRO | MODELO: STICK BAG  SS | DESCRICAO: PORTA-BAQUETAS P/09 PARES  - COM LÃ,BAQUETA
1344,XPRO,CB 1,CANECA TORRE PARA BUMBO (2 tons),126.0,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: CB 1 | DESCRICAO: CANECA TORRE PARA BUMBO (2 tons),BUMBO
1345,XPRO,562/ MCF 3,MICROFONE DE MÃO COM CABO E CACHIMBO CX MASTER ,129.15,CATEGORIA: MICROFONE | MARCA: XPRO | MODELO: 562  MCF 3 | DESCRICAO: MICROFONE DE MÃO COM CABO E CACHIMBO CX MASTER ,MICROFONE
1346,XPRO,765/ MCF 4,"MICROFONE DE MÃO COM CABO E CACHIMBO CX MASTER
30",134.4,"CATEGORIA: MICROFONE | MARCA: XPRO | MODELO: 765  MCF 4 | DESCRICAO: MICROFONE DE MÃO COM CABO E CACHIMBO CX MASTER
30",MICROFONE
1347,XPRO,ESTPED,EXTENSOR RETO PARA PRATO ED10 /100,141.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: ESTPED | DESCRICAO: EXTENSOR RETO PARA PRATO ED10 /100,OUTROS
1348,XPRO,BIG BAG,PORTA-BAQUETAS P/20 PARES,144.9,CATEGORIA: BAQUETA | MARCA: XPRO | MODELO: BIG BAG | DESCRICAO: PORTA-BAQUETAS P/20 PARES,BAQUETA
1349,XPRO,PC ACTION,PRESILHA DE HI HAT COLORIDA LUXO - AZUL,145.95,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PC ACTION | ESPECIFICACOES: COR: AZUL | DESCRICAO: PRESILHA DE HI HAT COLORIDA LUXO - AZUL,OUTROS
1350,XPRO,473 / MCF 2,MICROFONE DE MÃO COM CABO E CACHIMBO CX MASTER ,151.2,CATEGORIA: MICROFONE | MARCA: XPRO | MODELO: 473   MCF 2 | DESCRICAO: MICROFONE DE MÃO COM CABO E CACHIMBO CX MASTER ,MICROFONE
1351,XPRO,TH INDV,TOM HOLDER INDIVIDUAL,162.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TH INDV | DESCRICAO: TOM HOLDER INDIVIDUAL,OUTROS
1352,XPRO,AFUCHÉ,AFUCHÉ MÉDIO,165.9,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: AFUCHÉ | DESCRICAO: AFUCHÉ MÉDIO,OUTROS
1353,XPRO,LT6,BANDINHA RITMICA - BAG 6 PEÇAS,173.25,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: LT6 | DESCRICAO: BANDINHA RITMICA - BAG 6 PEÇAS,OUTROS
1354,XPRO,AFUCHÉ GR,AFUCHÉ GRANDE  Lançamento,194.25,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: AFUCHÉ GR | DESCRICAO: AFUCHÉ GRANDE  Lançamento,OUTROS
1355,XPRO,AC PLUS,AUTOMÁTICO DE CAIXA PLUS,196.35,CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: AC PLUS | DESCRICAO: AUTOMÁTICO DE CAIXA PLUS,CAIXA_SOM
1356,XPRO,TH 2,TOM HOLDER  BAT STAGE,204.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TH 2 | DESCRICAO: TOM HOLDER  BAT STAGE,OUTROS
1357,XPRO,PB PLUS,PÉS DE BUMBO (unid),207.9,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: PB PLUS | DESCRICAO: PÉS DE BUMBO (unid),BUMBO
1358,XPRO,P6,"PAD AVULSO 6""",215.25,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: P6 | ESPECIFICACOES: POLEGADAS: 6 | DESCRICAO: PAD AVULSO 6""",OUTROS
1359,XPRO,EC 1,ESTANTE DE CAIXA,242.55,CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: EC 1 | DESCRICAO: ESTANTE DE CAIXA,CAIXA_SOM
1360,XPRO,LT 9,BANDINHA RITMICA - BAG 9 PEÇAS,246.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: LT 9 | DESCRICAO: BANDINHA RITMICA - BAG 9 PEÇAS,OUTROS
1361,XPRO,BC STD,BANCO DE BATERIA,252.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: BC STD | DESCRICAO: BANCO DE BATERIA,OUTROS
1362,XPRO,EP STD,ESTANTE DE PRATO RETA,253.05,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EP STD | DESCRICAO: ESTANTE DE PRATO RETA,OUTROS
1363,XPRO,TH 1,TOM HOLDER  BAT X PRO (par),257.25,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TH 1 | DESCRICAO: TOM HOLDER  BAT X PRO (par),OUTROS
1364,XPRO,PD STD,PEDAL DE BUMBO,259.35,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: PD STD | DESCRICAO: PEDAL DE BUMBO,BUMBO
1365,XPRO,P6DZ,"PAD AVULSO BRANCO 7,5"" Dual Zone",260.4,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: P6DZ | ESPECIFICACOES: POLEGADAS: 5 | COR: BRANCO | DESCRICAO: PAD AVULSO BRANCO 7,5"" Dual Zone",OUTROS
1366,XPRO,ESTANTE DEP 01,ESTANTE PARA OCTAPAD SPD 100,262.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: ESTANTE DEP 01 | DESCRICAO: ESTANTE PARA OCTAPAD SPD 100,OUTROS
1367,XPRO,PBED1,PAD PARA BOMBO ED1 SEM SUPORTE,273.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PBED1 | DESCRICAO: PAD PARA BOMBO ED1 SEM SUPORTE,OUTROS
1368,XPRO,EB 1,ESTANTE DE BONGO,288.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EB 1 | DESCRICAO: ESTANTE DE BONGO,OUTROS
1369,XPRO,BC PLUS,BANCO DE BATERIA,291.9,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: BC PLUS | DESCRICAO: BANCO DE BATERIA,OUTROS
1370,XPRO,EXP CL,EXTENSOR DE PRATO GIRAFA COM CLAMP 180º - LANÇAMENTO,296.1,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EXP CL | DESCRICAO: EXTENSOR DE PRATO GIRAFA COM CLAMP 180º - LANÇAMENTO,OUTROS
1371,XPRO,EPG STD,ESTANTE DE PRATO GIRAFA,313.95,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EPG STD | DESCRICAO: ESTANTE DE PRATO GIRAFA,OUTROS
1372,XPRO,HH STD,MÁQUINA DE HI HAT,313.95,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: HH STD | DESCRICAO: MÁQUINA DE HI HAT,OUTROS
1373,XPRO,KIT P2,"2 13""HH; 1 16"" CRASH/RIDE C BAG E BAQUETA - LANÇAMENTO",331.8,"CATEGORIA: BAQUETA | MARCA: XPRO | MODELO: KIT P2 | ESPECIFICACOES: POLEGADAS: 16 13 | DESCRICAO: 2 13""HH; 1 16"" CRASH/RIDE C BAG E BAQUETA - LANÇAMENTO",BAQUETA
1374,XPRO,TT6P,"TOM TOM 6"" -  PRETO",344.4,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TT6P | ESPECIFICACOES: POLEGADAS: 6 | COR: PRETO | DESCRICAO: TOM TOM 6"" -  PRETO",OUTROS
1375,XPRO,TT8P,"TOM TOM 8"" -  PRETO",344.4,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TT8P | ESPECIFICACOES: POLEGADAS: 8 | COR: PRETO | DESCRICAO: TOM TOM 8"" -  PRETO",OUTROS
1376,XPRO,TT8V,"TOM TOM 8"" -  VINHO",344.4,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TT8V | ESPECIFICACOES: POLEGADAS: 8 | DESCRICAO: TOM TOM 8"" -  VINHO",OUTROS
1377,XPRO,P8,"PAD AVULSO 8"" Dual Zone",346.5,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: P8 | ESPECIFICACOES: POLEGADAS: 8 | DESCRICAO: PAD AVULSO 8"" Dual Zone",OUTROS
1378,XPRO,PR10SR BL,"PRATO CRASH/RIDE 10""BLUE PARA ED4 E ED44",346.5,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PR10SR BL | ESPECIFICACOES: POLEGADAS: 10 | DESCRICAO: PRATO CRASH/RIDE 10""BLUE PARA ED4 E ED44",OUTROS
1379,XPRO,PR10HH,"PRATO HI HAT 10""",346.5,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PR10HH | ESPECIFICACOES: POLEGADAS: 10 | DESCRICAO: PRATO HI HAT 10""",OUTROS
1380,XPRO,F101891,FONE DE OUVIDO SOUNDKING F10,349.65,CATEGORIA: FONE_OUVIDO | MARCA: XPRO | MODELO: F101891 | DESCRICAO: FONE DE OUVIDO SOUNDKING F10,FONE_OUVIDO
1381,XPRO,TT10P,"TOM TOM 10""  PRET0",357.0,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TT10P | ESPECIFICACOES: POLEGADAS: 10 | DESCRICAO: TOM TOM 10""  PRET0",OUTROS
1382,XPRO,TT10V,"TOM TOM 10""- VINHO",357.0,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TT10V | ESPECIFICACOES: POLEGADAS: 10 | DESCRICAO: TOM TOM 10""- VINHO",OUTROS
1383,XPRO,EXP Y,EXTENSOR DE PRATO GIRAFA,372.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EXP Y | DESCRICAO: EXTENSOR DE PRATO GIRAFA,OUTROS
1384,XPRO,PR12SR,"PRATO CRASH/RIDE 12"" Choke Systen",372.75,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PR12SR | ESPECIFICACOES: POLEGADAS: 12 | DESCRICAO: PRATO CRASH/RIDE 12"" Choke Systen",OUTROS
1385,XPRO,EC  PLUS,ESTANTE DE CAIXA,384.3,CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: EC  PLUS | DESCRICAO: ESTANTE DE CAIXA,CAIXA_SOM
1386,XPRO,TPE,TAPETE  X PRO BORRACHA,384.3,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: TPE | ESPECIFICACOES: MATERIAL: BORRACHA | DESCRICAO: TAPETE  X PRO BORRACHA,OUTROS
1387,XPRO,PHH,PEDAL HI HAT,388.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PHH | DESCRICAO: PEDAL HI HAT,OUTROS
1388,XPRO,F401691,FONE BOX F40,390.6,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: F401691 | DESCRICAO: FONE BOX F40,OUTROS
1389,XPRO,PD PLUS,PEDAL DE BUMBO,396.9,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: PD PLUS | DESCRICAO: PEDAL DE BUMBO,BUMBO
1390,XPRO,EP PLUS,ESTANTE DE PRATO RETA,397.95,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EP PLUS | DESCRICAO: ESTANTE DE PRATO RETA,OUTROS
1391,XPRO,EIXO CARDAN,EIXO CARDAN PARA PEDAL DUPLO,399.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EIXO CARDAN | DESCRICAO: EIXO CARDAN PARA PEDAL DUPLO,OUTROS
1392,XPRO,EC 9000,ESTANTE DE CAIXA,424.2,CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: EC 9000 | DESCRICAO: ESTANTE DE CAIXA,CAIXA_SOM
1393,XPRO,EPG PRO,ESTANTE DE PRATO GIRAFA,428.4,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EPG PRO | DESCRICAO: ESTANTE DE PRATO GIRAFA,OUTROS
1394,XPRO,MIX 02,MIX 02 CANAIS,430.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: MIX 02 | ESPECIFICACOES: CANAIS: 02 | DESCRICAO: MIX 02 CANAIS,OUTROS
1395,XPRO,U4,MESA 4 CANAIS  - U4,441.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: U4 | ESPECIFICACOES: CANAIS: 4 | DESCRICAO: MESA 4 CANAIS  - U4,OUTROS
1396,XPRO,P10DZ,"PAD AVULSO BRANCO 10"" Dual Zone",451.5,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: P10DZ | ESPECIFICACOES: POLEGADAS: 10 | COR: BRANCO | DESCRICAO: PAD AVULSO BRANCO 10"" Dual Zone",OUTROS
1397,XPRO,HH PLUS,MÁQUINA DE HI HAT,464.1,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: HH PLUS | DESCRICAO: MÁQUINA DE HI HAT,OUTROS
1398,XPRO,KIT P1,"2 14""HH; 1 16"" CRASH ; 1 20""RIDE C/ BAG E BAQUETA - LANÇAME",472.5,"CATEGORIA: BAQUETA | MARCA: XPRO | MODELO: KIT P1 | ESPECIFICACOES: POLEGADAS: 20 16 14 | DESCRICAO: 2 14""HH; 1 16"" CRASH ; 1 20""RIDE C/ BAG E BAQUETA - LANÇAME",BAQUETA
1399,XPRO,EB PLUS,ESTANTE DE BONGO,491.4,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EB PLUS | DESCRICAO: ESTANTE DE BONGO,OUTROS
1400,XPRO,B4 LIVE,MESA 4 CANAIS  - B4,498.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: B4 LIVE | ESPECIFICACOES: CANAIS: 4 | DESCRICAO: MESA 4 CANAIS  - B4,OUTROS
1401,XPRO,CX 4,"CAIXA METALICA 14""x5,5""",546.0,"CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: CX 4 | ESPECIFICACOES: POLEGADAS: 5 14 | DESCRICAO: CAIXA METALICA 14""x5,5""",CAIXA_SOM
1402,XPRO,P8MH,"PAD AVULSO MESH HEAD 08 "" Dual Zone",546.0,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: P8MH | DESCRICAO: PAD AVULSO MESH HEAD 08 "" Dual Zone",OUTROS
1403,XPRO,KT6,"TOM 6""+ TOM HOLDER + CLAMP - PRETO",551.25,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: KT6 | ESPECIFICACOES: POLEGADAS: 6 | COR: PRETO | DESCRICAO: TOM 6""+ TOM HOLDER + CLAMP - PRETO",OUTROS
1404,XPRO,KT8V,"TOM 8""+ TOM HOLDER + CLAMP - VINHO",551.25,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: KT8V | ESPECIFICACOES: POLEGADAS: 8 | DESCRICAO: TOM 8""+ TOM HOLDER + CLAMP - VINHO",OUTROS
1405,XPRO,KT8C,"TOM 8""+ TOM HOLDER + CLAMP -PRETO",551.25,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: KT8C | ESPECIFICACOES: POLEGADAS: 8 | COR: PRETO | DESCRICAO: TOM 8""+ TOM HOLDER + CLAMP -PRETO",OUTROS
1406,XPRO,EPG PLUS,ESTANTE DE PRATO GIRAFA,558.6,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: EPG PLUS | DESCRICAO: ESTANTE DE PRATO GIRAFA,OUTROS
1407,XPRO,P10MH,"PAD AVULSO MESH HEAD 10"" Dual Zone",588.0,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: P10MH | ESPECIFICACOES: POLEGADAS: 10 | DESCRICAO: PAD AVULSO MESH HEAD 10"" Dual Zone",OUTROS
1408,XPRO,KT10P,"TOM 10""+ TOM HOLDER + CLAMP - PRETO",598.5,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: KT10P | ESPECIFICACOES: POLEGADAS: 10 | COR: PRETO | DESCRICAO: TOM 10""+ TOM HOLDER + CLAMP - PRETO",OUTROS
1409,XPRO,KT10V,"TOM 10""+ TOM HOLDER + CLAMP - VINHO",598.5,"CATEGORIA: OUTROS | MARCA: XPRO | MODELO: KT10V | ESPECIFICACOES: POLEGADAS: 10 | DESCRICAO: TOM 10""+ TOM HOLDER + CLAMP - VINHO",OUTROS
1410,XPRO,PBS,PAD PARA BOMBO  ED10/ED100 COM SUPORTE,609.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PBS | DESCRICAO: PAD PARA BOMBO  ED10/ED100 COM SUPORTE,OUTROS
1411,XPRO,U6,MESA 6 CANAIS  - U6,614.25,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: U6 | ESPECIFICACOES: CANAIS: 6 | DESCRICAO: MESA 6 CANAIS  - U6,OUTROS
1412,XPRO,T4,MESA 4 CANAIS  - T4,661.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: T4 | ESPECIFICACOES: CANAIS: 4 | DESCRICAO: MESA 4 CANAIS  - T4,OUTROS
1413,XPRO,B6 LIVE,MESA 6 CANAIS  - B6,687.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: B6 LIVE | ESPECIFICACOES: CANAIS: 6 | DESCRICAO: MESA 6 CANAIS  - B6,OUTROS
1414,XPRO,CX 1,"CAIXA PICCOLO 14""x 3,5""",712.95,"CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: CX 1 | ESPECIFICACOES: POLEGADAS: 5 14 | DESCRICAO: CAIXA PICCOLO 14""x 3,5""",CAIXA_SOM
1415,XPRO,CX1407,"CAIXA POPLAR 14"" X 7""  - LANÇAMENTO",735.0,"CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: CX1407 | ESPECIFICACOES: POLEGADAS: 7 14 | DESCRICAO: CAIXA POPLAR 14"" X 7""  - LANÇAMENTO",CAIXA_SOM
1416,XPRO,CX1408,"CAIXA POPLAR 14"" X 8"" - LANÇAMENTO",735.0,"CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: CX1408 | ESPECIFICACOES: POLEGADAS: 8 14 | DESCRICAO: CAIXA POPLAR 14"" X 8"" - LANÇAMENTO",CAIXA_SOM
1417,XPRO,PBSMH,PAD PARA BOMBO ED20/ED200 COM SUPORTE MASH HEAD,750.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: PBSMH | DESCRICAO: PAD PARA BOMBO ED20/ED200 COM SUPORTE MASH HEAD,OUTROS
1418,XPRO,GA 04,MESA 4 CANAIS - GA 04,756.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: GA 04 | ESPECIFICACOES: CANAIS: 4 | DESCRICAO: MESA 4 CANAIS - GA 04,OUTROS
1419,XPRO,BC SELIM,BANCO DE BATERIA SELIN,782.25,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: BC SELIM | DESCRICAO: BANCO DE BATERIA SELIN,OUTROS
1420,XPRO,MIX 04,MIX 04 CANAIS - COM INTERFACE E SUPORTE PARA PEDESST,819.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: MIX 04 | ESPECIFICACOES: CANAIS: 04 | DESCRICAO: MIX 04 CANAIS - COM INTERFACE E SUPORTE PARA PEDESST,OUTROS
1421,XPRO,SURDO AV STG/PE,SURDO PRETO 16,819.0,CATEGORIA: SURDO | MARCA: XPRO | MODELO: SURDO AV STG PE | ESPECIFICACOES: COR: PRETO | DESCRICAO: SURDO PRETO 16,SURDO
1422,XPRO,SURDO AV STG/VM,SURDO VERMELHO 16,819.0,CATEGORIA: SURDO | MARCA: XPRO | MODELO: SURDO AV STG VM | ESPECIFICACOES: COR: VERMELHO | DESCRICAO: SURDO VERMELHO 16,SURDO
1423,XPRO,BC PRESSURE,BANCO DE BATERIA PRESSURE SELIN PNEUMATICO COM EN,834.75,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: BC PRESSURE | DESCRICAO: BANCO DE BATERIA PRESSURE SELIN PNEUMATICO COM EN,OUTROS
1424,XPRO,T6,MESA 6 CANAIS  - T6,850.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: T6 | ESPECIFICACOES: CANAIS: 6 | DESCRICAO: MESA 6 CANAIS  - T6,OUTROS
1425,XPRO,SURDO AV UPPER G,GOLD SPK 16,871.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: SURDO AV UPPER G | DESCRICAO: GOLD SPK 16,OUTROS
1426,XPRO,SURDO AV UPPER P,PURPLE SPK 16,871.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: SURDO AV UPPER P | DESCRICAO: PURPLE SPK 16,OUTROS
1427,XPRO,SURDO AV UPPER R,RED SPK 16,871.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: SURDO AV UPPER R | DESCRICAO: RED SPK 16,OUTROS
1428,XPRO,CX1007 CS,"CAIXA POPLAR 10"" X 7"" COM CLAMP E HOLDER  - LANÇAMENTO",882.0,"CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: CX1007 CS | ESPECIFICACOES: POLEGADAS: 7 10 | DESCRICAO: CAIXA POPLAR 10"" X 7"" COM CLAMP E HOLDER  - LANÇAMENTO",CAIXA_SOM
1429,XPRO,CX 3,"CAIXA BIRCH 14""x6,5""",919.8,"CATEGORIA: CAIXA_SOM | MARCA: XPRO | MODELO: CX 3 | ESPECIFICACOES: POLEGADAS: 5 14 | DESCRICAO: CAIXA BIRCH 14""x6,5""",CAIXA_SOM
1430,XPRO,HH FLY,MÁQUINA DE HI HAT AÉREA,934.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: HH FLY | DESCRICAO: MÁQUINA DE HI HAT AÉREA,OUTROS
1431,XPRO,PD DBL,PEDAL DE BUMBO DUPLO,1004.85,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: PD DBL | DESCRICAO: PEDAL DE BUMBO DUPLO,BUMBO
1432,XPRO,TIMBALES,"TIMBALES 13"" / 14"" COM ESTANTE",1071.0,"CATEGORIA: TIMBAL | MARCA: XPRO | MODELO: TIMBALES | ESPECIFICACOES: POLEGADAS: 13 14 | DESCRICAO: TIMBALES 13"" / 14"" COM ESTANTE",TIMBAL
1433,XPRO,PD DBL AZUL,PEDAL DE BUMBO ACTION DUPLO  AZUL - LANÇAMENTO,1078.35,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: PD DBL AZUL | ESPECIFICACOES: COR: AZUL | DESCRICAO: PEDAL DE BUMBO ACTION DUPLO  AZUL - LANÇAMENTO,BUMBO
1434,XPRO,PD DBL PRETO,PEDAL DE BUMBO ACTION DUPLO  PRETO - LANÇAMENTO,1078.35,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: PD DBL PRETO | ESPECIFICACOES: COR: PRETO | DESCRICAO: PEDAL DE BUMBO ACTION DUPLO  PRETO - LANÇAMENTO,BUMBO
1435,XPRO,PD DBL VERMELHO,PEDAL DE BUMBO ACTION DUPLO  VERMELHO - LANÇAMENTO,1078.35,CATEGORIA: BUMBO | MARCA: XPRO | MODELO: PD DBL VERMELHO | ESPECIFICACOES: COR: VERMELHO | DESCRICAO: PEDAL DE BUMBO ACTION DUPLO  VERMELHO - LANÇAMENTO,BUMBO
1436,XPRO,KG 05,MESA KG 05 CANAIS,1081.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: KG 05 | ESPECIFICACOES: CANAIS: 05 | DESCRICAO: MESA KG 05 CANAIS,OUTROS
1437,XPRO,HCL,CLARINETE ABS - BB 17 CHAVES,1102.5,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: HCL | DESCRICAO: CLARINETE ABS - BB 17 CHAVES,OUTROS
1438,XPRO,BX 06,MESA 6 CANAIS  - BX6,1209.6,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: BX 06 | ESPECIFICACOES: CANAIS: 6 | DESCRICAO: MESA 6 CANAIS  - BX6,OUTROS
1439,XPRO,JBFL-6248S,FLAUTA TRANSVERSAL,1281.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: JBFL 6248S | DESCRICAO: FLAUTA TRANSVERSAL,OUTROS
1440,XPRO,HTP,TROMPETE BB - LAQ,1281.0,CATEGORIA: OUTROS | MARCA: XPRO | MODELO: HTP | DESCRICAO: TROMPETE BB - LAQ,OUTROS
